"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:53 CST 2023","107","","test_file","TestFile","","","查询时光轴目录收录列表-冒烟",""
"failed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","44","","test_file","TestFile","","","批量备份短彩信",""
"failed","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:53 CST 2023","188","","test_file","TestFile","","","设置时光轴不收录的目录-冒烟",""
"passed","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:53 CST 2023","92","","test_file","TestFile","","","查询地点分组下照片-冒烟",""
"passed","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:53 CST 2023","104","","test_file","TestFile","","","查询标签下图片-冒烟",""
"passed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","63","","test_file","TestFile","","","列举相薄-冒烟",""
"passed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","93","","test_file","TestFile","","","修改相薄-冒烟",""
"passed","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:53 CST 2023","100","","test_file","TestFile","","","查询时光轴图片-冒烟",""
"passed","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:53 CST 2023","69","","test_file","TestFile","","","根据地点列表查询地点聚类-冒烟",""
"passed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","62","","test_file","TestFile","","","列举相薄中的照片-冒烟",""
"broken","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:53 CST 2023","23","","test_file","TestFile","","","查询指定目录下时光轴照片（新，用于年月日时光轴-冒烟",""
"passed","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:53 CST 2023","77","","test_file","TestFile","","","列举地点聚类-冒烟",""
"failed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","75","","test_file","TestFile","","","相薄移出照片-冒烟",""
"passed","Tue Mar 21 15:39:53 CST 2023","Tue Mar 21 15:39:54 CST 2023","88","","test_file","TestFile","","","创建相薄-冒烟",""
"passed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","129","","test_file","TestFile","","","搜索相薄-冒烟",""
"passed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","78","","test_file","TestFile","","","删除相簿-冒烟",""
"passed","Tue Mar 21 15:39:52 CST 2023","Tue Mar 21 15:39:53 CST 2023","128","","test_file","TestFile","","","列举标签种类-冒烟",""
"failed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","51","","test_file","TestFile","","","批量查询短彩信备份",""
"passed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","82","","test_file","TestFile","","","获取相薄-冒烟",""
"failed","Tue Mar 21 15:39:54 CST 2023","Tue Mar 21 15:39:54 CST 2023","75","","test_file","TestFile","","","相薄添加照片-冒烟",""
